number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
37,TrialState.COMPLETE,0.10878572337310516,285,4,0.006219707381508055,0.9023022834566755,0.5083091240465222,34,1.145545707613393,0.021620646673363244,7.646003429891777,0.15795202382930712,0.15666520182480778,1.008213834275325,3.0,0.10878572337310516
38,TrialState.COMPLETE,0.09960850988393738,324,4,0.01083410808718253,0.8898389230281069,0.5862904719616585,30,0.7258029084386826,0.4385775179983308,2.852013656733563,0.14853532696486627,0.15570726832371554,0.9539395852482698,3.0,0.09960850988393738
39,TrialState.COMPLETE,0.09755901213982593,180,4,0.012657358139899016,0.7390258000535564,0.6435868215053204,14,1.2798338897376207,6.8709533390999145,61.874883129344994,0.14921714769694377,0.15329920889513804,0.973371935656977,4.0,0.09755901213982593
40,TrialState.COMPLETE,0.10302872837910555,314,4,0.014788510065730369,0.8385420901509715,0.5610073838015743,23,2.276836547642079,0.05916150234163102,2.825398681475856,0.14511103152284693,0.14166254590829888,1.0243429594776612,2.0,0.10302872837910555
41,TrialState.COMPLETE,0.09991864017566038,380,4,0.007929463232907875,0.8811210585462596,0.553013393261166,32,0.1645240236965645,0.011773819525288262,18.440112033130838,0.14944468406044925,0.1581041755391555,0.9452292044205899,3.0,0.09991864017566038
42,TrialState.COMPLETE,0.10633462137994115,271,4,0.00792191369486685,0.8189420878318393,0.508018660382845,35,1.7671754088988285,0.06214860558913485,7.4581893724001045,0.15605367724895336,0.15887622347604885,0.9822343069004218,3.0,0.10633462137994115
43,TrialState.COMPLETE,0.10709824722484931,322,4,0.006132041948133934,0.9476896869925574,0.5109189570235171,28,0.16461821656740638,0.021492247397775187,3.8638873923695374,0.15695887312338727,0.1594425035941518,0.9844230339164367,3.0,0.10709824722484931
44,TrialState.COMPLETE,0.09709438752920577,288,4,0.016405708722357467,0.7199725865764346,0.6183465695488953,21,0.2705199225281306,0.08346659665922793,26.009207475037574,0.1462799903378291,0.15674241123449326,0.9332508616253712,3.0,0.09709438752920577
45,TrialState.PRUNED,-0.13223969897969712,191,3,0.006916859629831549,0.9477424631861342,0.5229560938563887,34,2.0548904995012256,0.02280278821653018,9.95307846069377,,,,,
46,TrialState.COMPLETE,0.11086559486457209,223,4,0.007900828617895123,0.6209375642254852,0.5874141230414062,19,0.870823731529714,2.368667414825283,14.09877441229954,0.16064182279942524,0.15910491173941257,1.0096597335884254,3.0,0.11086559486457209
